Date,MSFT
2024-04-01,419.8907470703125
2024-04-02,416.79522705078125
2024-04-03,415.816162109375
2024-04-04,413.2745056152344
2024-04-05,420.83026123046875
2024-04-08,419.9104919433594
2024-04-09,421.5819091796875
2024-04-10,418.5951843261719
2024-04-11,423.21368408203125
2024-04-12,417.2501220703125
2024-04-15,409.08123779296875
2024-04-16,410.01080322265625
2024-04-17,407.301025390625
2024-04-18,399.8144226074219
2024-04-19,394.72119140625
2024-04-22,396.5409240722656
2024-04-23,403.078125
2024-04-24,404.5516662597656
2024-04-25,394.6421203613281
2024-04-26,401.8418884277344
2024-04-29,397.8167419433594
2024-04-30,385.03912353515625
2024-05-01,390.5872497558594
2024-05-02,393.455322265625
2024-05-03,402.1781005859375
2024-05-06,408.9822998046875
2024-05-07,404.82861328125
2024-05-08,406.015380859375
2024-05-09,407.77569580078125
2024-05-10,410.1690979003906
2024-05-13,409.1602783203125
2024-05-14,411.968994140625
2024-05-15,419.171875
2024-05-16,417.1011657714844
2024-05-17,416.3283996582031
2024-05-20,421.41094970703125
2024-05-21,425.07684326171875
2024-05-22,426.5431213378906
2024-05-23,423.0556640625
2024-05-24,426.1864929199219
2024-05-28,426.344970703125
2024-05-29,425.20562744140625
2024-05-30,410.83953857421875
2024-05-31,411.2953186035156
2024-06-03,409.7001953125
2024-06-04,412.22662353515625
2024-06-05,420.09326171875
2024-06-06,420.5985412597656
2024-06-07,419.9347839355469
2024-06-10,423.9176025390625
2024-06-11,428.6831970214844
2024-06-12,436.98577880859375
2024-06-13,437.5009460449219
2024-06-14,438.4818420410156
2024-06-17,444.2282409667969
2024-06-18,442.2170104980469
2024-06-20,441.5829162597656
2024-06-21,445.6252136230469
2024-06-24,443.53472900390625
2024-06-25,446.784423828125
2024-06-26,447.9832458496094
2024-06-27,448.6668395996094
2024-06-28,442.82135009765625
2024-07-01,452.51104736328125
2024-07-02,455.0374755859375
2024-07-03,456.513671875
2024-07-05,463.240966796875
2024-07-08,461.93316650390625
2024-07-09,455.2950744628906
2024-07-10,461.943115234375
2024-07-11,450.499755859375
2024-07-12,449.3603820800781
2024-07-15,449.7666015625
2024-07-16,445.3676452636719
2024-07-17,439.42303466796875
2024-07-18,436.3021545410156
2024-07-19,433.0722351074219
2024-07-22,438.848388671875
2024-07-23,440.7407531738281
2024-07-24,424.9381103515625
2024-07-25,414.5351257324219
2024-07-26,421.34161376953125
2024-07-29,422.78814697265625
2024-07-30,419.0133361816406
2024-07-31,414.4855651855469
2024-08-01,413.25701904296875
2024-08-02,404.7165832519531
2024-08-05,391.4998474121094
2024-08-06,395.9186706542969
2024-08-07,394.7495422363281
2024-08-08,398.97021484375
2024-08-09,402.26947021484375
2024-08-12,403.0521545410156
2024-08-13,410.1856384277344
2024-08-14,413.0093078613281
2024-08-15,417.8926696777344
2024-08-16,415.35174560546875
2024-08-19,418.388916015625
2024-08-20,421.63458251953125
2024-08-21,420.9794921875
2024-08-22,412.4534606933594
2024-08-23,413.68426513671875
2024-08-26,410.40887451171875
2024-08-27,410.7562561035156
2024-08-28,407.5403747558594
2024-08-29,410.0415954589844
2024-08-30,414.0316467285156
2024-09-03,406.3890380859375
2024-09-04,405.85302734375
2024-09-05,405.3468933105469
2024-09-06,398.70672607421875
2024-09-09,402.6967468261719
2024-09-10,411.11358642578125
2024-09-11,419.8876953125
2024-09-12,423.81817626953125
2024-09-13,427.38140869140625
2024-09-16,428.1258239746094
2024-09-17,431.9074401855469
2024-09-18,427.59979248046875
2024-09-19,435.4210510253906
2024-09-20,432.02655029296875
