Date,GLD,SPY,TLT
2024-04-01,207.82000732421875,514.0779418945312,87.1938247680664
2024-04-02,210.88999938964844,510.8093566894531,86.71334838867188
2024-04-03,212.74000549316406,511.3705139160156,86.69449615478516
2024-04-04,211.52000427246094,505.128662109375,87.3163070678711
2024-04-05,215.13999938964844,510.4056701660156,86.10093688964844
2024-04-08,216.47999572753906,510.6912536621094,86.09153747558594
2024-04-09,217.6699981689453,511.2818908691406,86.892333984375
2024-04-10,215.61000061035156,506.1623840332031,84.99866485595703
2024-04-11,219.8000030517578,509.9823303222656,84.61239624023438
2024-04-12,216.88999938964844,502.9430236816406,85.06462097167969
2024-04-15,220.9499969482422,496.64208984375,83.74563598632812
2024-04-16,221.22000122070312,495.7362976074219,83.1897964477539
2024-04-17,219.58999633789062,492.8024597167969,84.11305236816406
2024-04-18,220.33999633789062,491.78839111328125,83.6891098022461
2024-04-19,221.02999877929688,487.4958801269531,83.9906005859375
2024-04-22,215.57000732421875,491.9853210449219,83.84927368164062
2024-04-23,215.0399932861328,497.823486328125,83.8775405883789
2024-04-24,214.63999938964844,497.58721923828125,83.28399658203125
2024-04-25,215.9199981689453,495.6969299316406,82.69987487792969
2024-04-26,216.6199951171875,500.39312744140625,83.13327026367188
2024-04-29,216.17999267578125,502.165283203125,83.83042907714844
2024-04-30,211.8699951171875,494.2103271484375,83.11441040039062
2024-05-01,213.7899932861328,492.6055603027344,83.72704315185547
2024-05-02,213.1300048828125,497.21307373046875,84.08631896972656
2024-05-03,212.9600067138672,503.3762512207031,84.93719482421875
2024-05-06,215.1999969482422,508.5744934082031,85.26809692382812
2024-05-07,214.2100067138672,509.1356201171875,85.7880630493164
2024-05-08,213.5800018310547,509.1849060058594,85.26809692382812
2024-05-09,216.9499969482422,512.1187744140625,85.68408203125
2024-05-10,218.7100067138672,512.7784423828125,85.20191192626953
2024-05-13,216.25999450683594,512.8472290039062,85.41934204101562
2024-05-14,218.08999633789062,515.2003173828125,85.90154266357422
2024-05-15,220.88999938964844,521.5800170898438,87.07386779785156
2024-05-16,220.02999877929688,520.5069580078125,86.98878479003906
2024-05-17,223.66000366210938,521.2551879882812,86.4026107788086
2024-05-20,224.55999755859375,521.855712890625,86.14733123779297
2024-05-21,224.22999572753906,523.1355590820312,86.59169006347656
2024-05-22,220.11000061035156,521.6293334960938,86.6957015991211
2024-05-23,215.72000122070312,517.8191528320312,86.13790130615234
2024-05-24,215.9199981689453,521.2452392578125,86.39315032958984
2024-05-28,218.19000244140625,521.6095581054688,85.1546401977539
2024-05-29,216.16000366210938,517.9569091796875,84.1241226196289
2024-05-30,216.57000732421875,514.52099609375,84.93719482421875
2024-05-31,215.3000030517578,519.2073974609375,85.51390838623047
2024-06-03,217.22000122070312,519.630615234375,86.89704132080078
2024-06-04,215.27000427246094,520.2115478515625,87.912109375
2024-06-05,217.82000732421875,526.394287109375,88.55720520019531
2024-06-06,219.42999267578125,526.384521484375,88.42439270019531
2024-06-07,211.60000610351562,525.7445068359375,86.80219268798828
2024-06-10,213.5399932861328,527.3689575195312,86.2235107421875
2024-06-11,214.14999389648438,528.6390380859375,87.1152572631836
2024-06-12,214.72000122070312,532.9807739257812,87.76982116699219
2024-06-13,212.97000122070312,534.053955078125,89.05998992919922
2024-06-14,215.72999572753906,534.37890625,89.80943298339844
2024-06-17,214.61000061035156,538.6318969726562,88.91768646240234
2024-06-18,215.47000122070312,540.00048828125,89.73353576660156
2024-06-20,218.16000366210938,538.5335083007812,89.1358871459961
2024-06-21,214.77999877929688,537.8115844726562,89.1358871459961
2024-06-24,215.6300048828125,536.0631713867188,89.49637603759766
2024-06-25,214.55999755859375,538.1275634765625,89.64814758300781
2024-06-26,212.5800018310547,538.7991943359375,88.36747741699219
2024-06-27,214.99000549316406,539.6486206054688,88.71847534179688
2024-06-28,215.00999450683594,537.5250854492188,87.06781768798828
2024-07-01,215.57000732421875,538.6312866210938,85.56513214111328
2024-07-02,215.55999755859375,542.256103515625,86.23129272460938
2024-07-03,217.99000549316406,544.6759643554688,87.3637924194336
2024-07-05,220.92999267578125,547.81689453125,88.08705139160156
2024-07-08,218.19000244140625,548.448974609375,88.27737426757812
2024-07-09,218.55999755859375,548.982421875,87.88719177246094
2024-07-10,219.36000061035156,554.4147338867188,88.1631851196289
2024-07-11,223.25,549.6342163085938,89.01970672607422
2024-07-12,223.11000061035156,553.1010131835938,89.4003677368164
2024-07-15,223.8300018310547,554.6220703125,88.37255096435547
2024-07-16,228.2899932861328,557.9111328125,89.6192398071289
2024-07-17,227.22999572753906,550.088623046875,89.63829803466797
2024-07-18,225.77999877929688,545.8612060546875,88.95307922363281
2024-07-19,221.72999572753906,542.236328125,88.4296646118164
2024-07-22,221.8000030517578,547.8267822265625,88.17269897460938
2024-07-23,222.5800018310547,546.9674682617188,88.04898834228516
2024-07-24,221.8000030517578,534.5718383789062,87.0973129272461
2024-07-25,218.3300018310547,531.7864990234375,87.81106567382812
2024-07-26,220.6300048828125,537.7423706054688,88.49627685546875
2024-07-29,220.32000732421875,538.0584106445312,88.97212219238281
2024-07-30,222.52000427246094,535.3323974609375,89.314697265625
